R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 80.000, 90.000, 453.000, 207.000, 136.000
70.000, 1.000, 80.000, 100.000, 453.000, 206.000, 136.000
70.000, 1.000, 80.000, 200.000, 452.000, 194.000, 137.000
70.000, 1.000, 80.000, 700.000, 443.000, 145.000, 146.000
70.000, 1.000, 85.000, 1.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 10.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 20.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 30.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 40.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 50.000, 451.000, 193.000, 138.000
70.000, 1.000, 85.000, 60.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 70.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 75.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 80.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 85.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 90.000, 451.000, 192.000, 138.000
70.000, 1.000, 85.000, 100.000, 451.000, 191.000, 138.000
70.000, 1.000, 85.000, 200.000, 451.000, 182.000, 138.000
70.000, 1.000, 85.000, 700.000, 442.000, 140.000, 147.000
70.000, 1.000, 90.000, 1.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 10.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 20.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 30.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 40.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 50.000, 449.000, 175.000, 140.000
70.000, 1.000, 90.000, 60.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 70.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 75.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 80.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 85.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 90.000, 449.000, 174.000, 140.000
70.000, 1.000, 90.000, 100.000, 449.000, 173.000, 140.000
70.000, 1.000, 90.000, 200.000, 449.000, 167.000, 140.000
70.000, 1.000, 90.000, 700.000, 440.000, 132.000, 149.000
70.000, 1.000, 95.000, 1.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 10.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 20.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 30.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 40.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 50.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 60.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 70.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 75.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 80.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 85.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 90.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 100.000, 439.000, 142.000, 150.000
70.000, 1.000, 95.000, 200.000, 439.000, 141.000, 150.000
70.000, 1.000, 95.000, 700.000, 433.000, 119.000, 156.000
70.000, 1.000, 100.000, 1.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 10.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 20.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 30.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 40.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 50.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 60.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 70.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 75.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 80.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 85.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 90.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 100.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 200.000, 71.000, 7.000, 518.000
70.000, 1.000, 100.000, 700.000, 71.000, 7.000, 518.000
