R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 80.000, 80.000, 17154.000, 7379.000, 34587.000
70.000, 1.000, 80.000, 85.000, 17148.000, 7358.000, 34593.000
70.000, 1.000, 80.000, 90.000, 17138.000, 7332.000, 34603.000
70.000, 1.000, 80.000, 100.000, 17122.000, 7276.000, 34619.000
70.000, 1.000, 80.000, 200.000, 16858.000, 6625.000, 34883.000
70.000, 1.000, 80.000, 700.000, 15490.000, 4458.000, 36251.000
70.000, 1.000, 85.000, 1.000, 16836.000, 6965.000, 34905.000
70.000, 1.000, 85.000, 10.000, 16836.000, 6964.000, 34905.000
70.000, 1.000, 85.000, 20.000, 16835.000, 6940.000, 34906.000
70.000, 1.000, 85.000, 30.000, 16833.000, 6910.000, 34908.000
70.000, 1.000, 85.000, 40.000, 16830.000, 6875.000, 34911.000
70.000, 1.000, 85.000, 50.000, 16827.000, 6817.000, 34914.000
70.000, 1.000, 85.000, 60.000, 16822.000, 6754.000, 34919.000
70.000, 1.000, 85.000, 70.000, 16812.000, 6706.000, 34929.000
70.000, 1.000, 85.000, 75.000, 16810.000, 6685.000, 34931.000
70.000, 1.000, 85.000, 80.000, 16804.000, 6658.000, 34937.000
70.000, 1.000, 85.000, 85.000, 16799.000, 6647.000, 34942.000
70.000, 1.000, 85.000, 90.000, 16792.000, 6629.000, 34949.000
70.000, 1.000, 85.000, 100.000, 16781.000, 6587.000, 34960.000
70.000, 1.000, 85.000, 200.000, 16560.000, 6049.000, 35181.000
70.000, 1.000, 85.000, 700.000, 15287.000, 4166.000, 36454.000
70.000, 1.000, 90.000, 1.000, 16281.000, 5853.000, 35460.000
70.000, 1.000, 90.000, 10.000, 16281.000, 5853.000, 35460.000
70.000, 1.000, 90.000, 20.000, 16280.000, 5839.000, 35461.000
70.000, 1.000, 90.000, 30.000, 16278.000, 5822.000, 35463.000
70.000, 1.000, 90.000, 40.000, 16276.000, 5798.000, 35465.000
70.000, 1.000, 90.000, 50.000, 16274.000, 5760.000, 35467.000
70.000, 1.000, 90.000, 60.000, 16270.000, 5715.000, 35471.000
70.000, 1.000, 90.000, 70.000, 16263.000, 5676.000, 35478.000
70.000, 1.000, 90.000, 75.000, 16262.000, 5661.000, 35479.000
70.000, 1.000, 90.000, 80.000, 16257.000, 5638.000, 35484.000
